policy_id,precision,recall,f1,tp,fp,fn
1,0.8,0.571,0.667,4,1,3
10,0.0,0.0,0.0,0,12,3
100,0.0,0.0,0.0,0,0,29
101,0.0,0.0,0.0,0,0,10
102,0.0,0.0,0.0,0,0,27
103,0.0,0.0,0.0,0,2,1
105,0.0,0.0,0.0,0,0,10
106,0.0,0.0,0.0,0,0,9
107,1.0,0.375,0.545,3,0,5
109,0.0,0.0,0.0,0,0,16
11,0.125,0.333,0.182,1,7,2
110,0.0,0.0,0.0,0,0,15
111,0.0,0.0,0.0,0,0,18
112,0.0,0.0,0.0,0,0,21
113,0.0,0.0,0.0,0,0,18
114,0.333,1.0,0.5,1,2,0
115,0.167,0.067,0.095,1,5,14
117,0.0,0.0,0.0,0,0,4
118,1.0,0.143,0.25,1,0,6
119,1.0,0.5,0.667,1,0,1
12,0.667,0.364,0.471,4,2,7
120,1.0,1.0,1.0,1,0,0
121,0.25,0.25,0.25,1,3,3
122,1.0,0.158,0.273,3,0,16
123,0.0,0.0,0.0,0,0,14
124,0.5,0.25,0.333,1,1,3
125,1.0,0.357,0.526,5,0,9
126,0.0,0.0,0.0,0,2,1
127,0.667,0.25,0.364,2,1,6
128,1.0,1.0,1.0,1,0,0
129,0.0,0.0,0.0,0,2,6
13,0.0,0.0,0.0,0,9,18
130,0.5,0.25,0.333,1,1,3
131,1.0,0.286,0.444,2,0,5
132,0.429,0.5,0.462,3,4,3
133,0.333,1.0,0.5,1,2,0
134,0.0,0.0,0.0,0,0,37
135,0.0,0.0,0.0,0,0,30
136,0.25,0.2,0.222,1,3,4
137,0.0,0.0,0.0,0,0,28
138,0.5,0.444,0.471,4,4,5
139,0.0,0.0,0.0,0,0,27
14,0.5,0.333,0.4,3,3,6
140,0.667,0.333,0.444,2,1,4
141,0.667,0.182,0.286,2,1,9
142,0.0,0.0,0.0,0,0,10
143,0.25,0.143,0.182,1,3,6
144,0.0,0.0,0.0,0,0,17
145,0.0,0.0,0.0,0,0,26
146,0.0,0.0,0.0,0,0,18
147,0.0,0.0,0.0,0,1,0
148,0.0,0.0,0.0,0,9,14
149,0.8,0.667,0.727,4,1,2
15,0.571,0.667,0.615,4,3,2
150,0.0,0.0,0.0,0,0,18
151,0.333,0.25,0.286,1,2,3
152,0.667,0.211,0.32,4,2,15
153,0.273,0.6,0.375,3,8,2
154,0.0,0.0,0.0,0,0,14
155,0.75,0.158,0.261,3,1,16
156,0.0,0.0,0.0,0,0,11
157,0.0,0.0,0.0,0,0,19
