config,threshold,n_policies,precision,recall,f1,total_tp,total_fp,total_fn
fixed_300,0.0,15,0.538,0.066,0.118,14,12,199
fixed_300,0.1,15,0.538,0.066,0.118,14,12,199
fixed_300,0.2,15,0.538,0.066,0.118,14,12,199
fixed_300,0.3,14,0.452,0.07,0.121,14,17,186
fixed_300,0.4,14,0.447,0.108,0.174,21,26,174
fixed_500,0.0,15,0.395,0.08,0.133,17,26,196
fixed_500,0.1,15,0.395,0.08,0.133,17,26,196
fixed_500,0.2,15,0.395,0.08,0.133,17,26,196
fixed_500,0.3,15,0.395,0.08,0.133,17,26,196
fixed_500,0.4,15,0.756,0.16,0.264,34,11,179
semantic,0.0,15,0.615,0.263,0.368,56,35,157
semantic,0.1,15,0.615,0.263,0.368,56,35,157
semantic,0.2,15,0.629,0.263,0.371,56,33,157
semantic,0.3,15,0.618,0.258,0.364,55,34,158
semantic,0.4,14,0.625,0.296,0.402,55,33,131
