policy_id,config,threshold,n_chunks,precision,recall,f1,tp,fp,fn,true_positives,false_positives,false_negatives
11,fixed_500,0.2,2,0.062,0.333,0.105,1,15,2,identifier_device_id_1stparty,identifier_android_id_1stparty|identifier_application_events_1stparty|identifier_application_version_1stparty|identifier_crash_reports_1stparty|identifier_device_model_1stparty|identifier_dump_reports_1stparty|identifier_hardware_model_1stparty|identifier_installed_date_time_1stparty|identifier_ip_address_1stparty|identifier_keyword_searches_1stparty|identifier_operating_system_version_1stparty|identifier_usage_statistics_1stparty|identifier_website_links_clicked_1stparty|location_mcc_1stparty|log_information_1stparty,contact_e_mail_address_1stparty|location_1stparty
112,fixed_500,0.2,16,0.0,0.0,0.0,0,0,21,,,contact_1stparty|contact_address_book_1stparty|contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|demographic_1stparty|demographic_age_1stparty|demographic_gender_1stparty|facebook_sso|identifier_ad_id_1stparty|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_ip_address_1stparty|identifier_ip_address_3rdparty|identifier_mac_1stparty|identifier_sim_serial_1stparty|location_1stparty|location_ip_address_1stparty|location_wifi_1stparty
113,fixed_500,0.2,6,0.0,0.0,0.0,0,0,18,,,contact_e_mail_address_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|contact_zip_1stparty|identifier_ad_id_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_device_id_1stparty|identifier_imei_1stparty|identifier_ip_address_1stparty|identifier_mac_1stparty|identifier_sim_serial_1stparty|location_1stparty|location_bluetooth_1stparty|location_cell_tower_1stparty|location_gps_1stparty|location_ip_address_1stparty|location_wifi_1stparty
139,fixed_500,0.2,8,0.0,0.0,0.0,0,0,27,,,contact_1stparty|contact_3rdparty|contact_e_mail_address_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|contact_zip_1stparty|demographic_1stparty|demographic_age_1stparty|identifier_ad_id_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_device_id_1stparty|identifier_ip_address_1stparty|identifier_ip_address_3rdparty|identifier_mac_1stparty|location_1stparty|location_3rdparty|location_bluetooth_1stparty|location_bluetooth_3rdparty|location_cell_tower_1stparty|location_cell_tower_3rdparty|location_gps_1stparty|location_gps_3rdparty|location_ip_address_1stparty|location_ip_address_3rdparty|location_wifi_1stparty|location_wifi_3rdparty
146,fixed_500,0.2,9,0.0,0.0,0.0,0,0,18,,,contact_3rdparty|facebook_sso|identifier_1stparty|identifier_ad_id_1stparty|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_ip_address_1stparty|identifier_ip_address_3rdparty|identifier_mobile_carrier_1stparty|identifier_mobile_carrier_3rdparty|location_1stparty|location_3rdparty|location_cell_tower_1stparty|location_cell_tower_3rdparty|location_ip_address_1stparty|location_ip_address_3rdparty|sso
150,fixed_500,0.2,7,0.0,0.0,0.0,0,0,18,,,contact_city_1stparty|contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|demographic_age_1stparty|demographic_gender_1stparty|identifier_ad_id_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_device_id_1stparty|identifier_ip_address_1stparty|identifier_mobile_carrier_1stparty|location_1stparty|location_bluetooth_1stparty|location_cell_tower_1stparty|location_gps_1stparty|location_ip_address_1stparty|location_wifi_1stparty
163,fixed_500,0.2,7,0.0,0.0,0.0,0,0,13,,,contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|demographic_1stparty|identifier_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_device_id_1stparty|identifier_ip_address_1stparty|identifier_mobile_carrier_1stparty|location_1stparty|location_ip_address_1stparty|sso
201,fixed_500,0.2,2,0.333,1.0,0.5,1,2,0,identifier_device_id_1stparty,contact_e_mail_address_1stparty|identifier_ad_id_1stparty,
211,fixed_500,0.2,11,0.0,0.0,0.0,0,0,11,,,contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|demographic_gender_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_device_id_1stparty|identifier_device_id_3rdparty|identifier_ip_address_1stparty|identifier_mobile_carrier_1stparty|location_1stparty
225,fixed_500,0.2,4,0.5,0.333,0.4,5,5,10,contact_e_mail_address_1stparty|demographic_age_1stparty|demographic_gender_1stparty|identifier_ad_id_1stparty|identifier_device_id_1stparty,demographic_1stparty|identifier_imei_1stparty|identifier_mac_1stparty|location_gps_1stparty|location_ip_address_1stparty,contact_address_book_1stparty|contact_password_1stparty|demographic_3rdparty|facebook_sso|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_ip_address_1stparty|location_1stparty|sso
