policy_id,config,threshold,n_chunks,precision,recall,f1,tp,fp,fn,true_positives,false_positives,false_negatives
11,semantic,0.4,5,0.0,0.0,0.0,0,3,3,,device_id_imei_1stparty|location_mcc_1stparty|log_information_1stparty,contact_e_mail_address_1stparty|identifier_device_id_1stparty|location_1stparty
112,semantic,0.4,32,1.0,0.143,0.25,3,0,18,contact_1stparty|identifier_ip_address_1stparty|identifier_mac_1stparty,,contact_address_book_1stparty|contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|demographic_1stparty|demographic_age_1stparty|demographic_gender_1stparty|facebook_sso|identifier_ad_id_1stparty|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_ip_address_3rdparty|identifier_sim_serial_1stparty|location_1stparty|location_ip_address_1stparty|location_wifi_1stparty
113,semantic,0.4,15,0.857,0.333,0.48,6,1,12,identifier_device_id_1stparty|identifier_imei_1stparty|identifier_ip_address_1stparty|identifier_mac_1stparty|identifier_sim_serial_1stparty|location_gps_1stparty,contact_1stparty_1stparty,contact_e_mail_address_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|contact_zip_1stparty|identifier_ad_id_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|location_1stparty|location_bluetooth_1stparty|location_cell_tower_1stparty|location_ip_address_1stparty|location_wifi_1stparty
146,semantic,0.4,19,0.667,0.222,0.333,4,2,14,identifier_ad_id_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_ip_address_1stparty|location_ip_address_1stparty,identifier_device_id_1stparty|location_gps_1stparty,contact_3rdparty|facebook_sso|identifier_1stparty|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_3rdparty|identifier_ip_address_3rdparty|identifier_mobile_carrier_1stparty|identifier_mobile_carrier_3rdparty|location_1stparty|location_3rdparty|location_cell_tower_1stparty|location_cell_tower_3rdparty|location_ip_address_3rdparty|sso
150,semantic,0.4,22,0.7,0.389,0.5,7,3,11,demographic_age_1stparty|demographic_gender_1stparty|identifier_ad_id_1stparty|identifier_device_id_1stparty|identifier_ip_address_1stparty|location_gps_1stparty|location_ip_address_1stparty,contact_1stparty|location_city_1stparty|sso_1stparty,contact_city_1stparty|contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_mobile_carrier_1stparty|location_1stparty|location_bluetooth_1stparty|location_cell_tower_1stparty|location_wifi_1stparty
163,semantic,0.4,14,0.5,0.462,0.48,6,6,7,contact_e_mail_address_1stparty|contact_postal_address_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_device_id_1stparty|identifier_ip_address_1stparty|location_ip_address_1stparty,contact_1stparty|contact_city_1stparty|contact_zip_1stparty|demographic_age_3rdparty|demographic_gender_3rdparty|sso_3rdparty,contact_password_1stparty|contact_phone_number_1stparty|demographic_1stparty|identifier_3rdparty|identifier_mobile_carrier_1stparty|location_1stparty|sso
201,semantic,0.4,4,0.167,1.0,0.286,1,5,0,identifier_device_id_1stparty,identifier_ad_id_1stparty|identifier_cookie_or_similar_tech_1stparty|location_cell_tower_1stparty|location_ip_address_1stparty|location_wifi_1stparty,
211,semantic,0.4,25,1.0,0.273,0.429,3,0,8,identifier_cookie_or_similar_tech_1stparty|identifier_device_id_1stparty|identifier_device_id_3rdparty,,contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|demographic_gender_1stparty|identifier_ip_address_1stparty|identifier_mobile_carrier_1stparty|location_1stparty
225,semantic,0.4,8,0.571,0.267,0.364,4,3,11,contact_e_mail_address_1stparty|identifier_ad_id_1stparty|identifier_device_id_1stparty|location_1stparty,facebook_sso_1stparty|location_ip_address_1stparty|sso_1stparty,contact_address_book_1stparty|contact_password_1stparty|demographic_3rdparty|demographic_age_1stparty|demographic_gender_1stparty|facebook_sso|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_ip_address_1stparty|sso
294,semantic,0.4,8,0.6,0.6,0.6,3,2,2,contact_e_mail_address_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_ip_address_1stparty,identifier_device_id_1stparty|location_ip_address_1stparty,contact_phone_number_1stparty|contact_postal_address_1stparty
350,semantic,0.4,23,0.875,0.226,0.359,7,1,24,contact_1stparty|identifier_ad_id_1stparty|identifier_device_id_1stparty|identifier_imei_1stparty|identifier_ip_address_1stparty|identifier_mac_1stparty|location_gps_1stparty,sso_1stparty,contact_address_book_1stparty|contact_e_mail_address_1stparty|contact_e_mail_address_3rdparty|contact_password_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|demographic_1stparty|demographic_age_1stparty|demographic_gender_1stparty|facebook_sso|identifier_1stparty|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_device_id_3rdparty|identifier_imei_3rdparty|identifier_ip_address_3rdparty|identifier_mac_3rdparty|location_1stparty|location_bluetooth_1stparty|location_cell_tower_1stparty|location_ip_address_1stparty|location_wifi_1stparty|sso
