policy_id,config,threshold,n_chunks,precision,recall,f1,tp,fp,fn,true_positives,false_positives,false_negatives
11,fixed_300,0.0,4,0.5,0.333,0.4,1,1,2,identifier_device_id_1stparty,location_ip_address_1stparty,contact_e_mail_address_1stparty|location_1stparty
112,fixed_300,0.0,17,0.0,0.0,0.0,0,0,21,,,contact_1stparty|contact_address_book_1stparty|contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|demographic_1stparty|demographic_age_1stparty|demographic_gender_1stparty|facebook_sso|identifier_ad_id_1stparty|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_ip_address_1stparty|identifier_ip_address_3rdparty|identifier_mac_1stparty|identifier_sim_serial_1stparty|location_1stparty|location_ip_address_1stparty|location_wifi_1stparty
113,fixed_300,0.0,10,0.0,0.0,0.0,0,0,18,,,contact_e_mail_address_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|contact_zip_1stparty|identifier_ad_id_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_device_id_1stparty|identifier_imei_1stparty|identifier_ip_address_1stparty|identifier_mac_1stparty|identifier_sim_serial_1stparty|location_1stparty|location_bluetooth_1stparty|location_cell_tower_1stparty|location_gps_1stparty|location_ip_address_1stparty|location_wifi_1stparty
139,fixed_300,0.0,12,0.0,0.0,0.0,0,0,27,,,contact_1stparty|contact_3rdparty|contact_e_mail_address_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|contact_zip_1stparty|demographic_1stparty|demographic_age_1stparty|identifier_ad_id_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_device_id_1stparty|identifier_ip_address_1stparty|identifier_ip_address_3rdparty|identifier_mac_1stparty|location_1stparty|location_3rdparty|location_bluetooth_1stparty|location_bluetooth_3rdparty|location_cell_tower_1stparty|location_cell_tower_3rdparty|location_gps_1stparty|location_gps_3rdparty|location_ip_address_1stparty|location_ip_address_3rdparty|location_wifi_1stparty|location_wifi_3rdparty
146,fixed_300,0.0,13,0.0,0.0,0.0,0,0,18,,,contact_3rdparty|facebook_sso|identifier_1stparty|identifier_ad_id_1stparty|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_ip_address_1stparty|identifier_ip_address_3rdparty|identifier_mobile_carrier_1stparty|identifier_mobile_carrier_3rdparty|location_1stparty|location_3rdparty|location_cell_tower_1stparty|location_cell_tower_3rdparty|location_ip_address_1stparty|location_ip_address_3rdparty|sso
150,fixed_300,0.0,11,0.0,0.0,0.0,0,0,18,,,contact_city_1stparty|contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|demographic_age_1stparty|demographic_gender_1stparty|identifier_ad_id_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_device_id_1stparty|identifier_ip_address_1stparty|identifier_mobile_carrier_1stparty|location_1stparty|location_bluetooth_1stparty|location_cell_tower_1stparty|location_gps_1stparty|location_ip_address_1stparty|location_wifi_1stparty
163,fixed_300,0.0,11,0.0,0.0,0.0,0,0,13,,,contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|demographic_1stparty|identifier_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_device_id_1stparty|identifier_ip_address_1stparty|identifier_mobile_carrier_1stparty|location_1stparty|location_ip_address_1stparty|sso
201,fixed_300,0.0,3,0.333,1.0,0.5,1,2,0,identifier_device_id_1stparty,contact_1stparty_1stparty|location_gps_1stparty,
211,fixed_300,0.0,15,0.0,0.0,0.0,0,0,11,,,contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|demographic_gender_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_device_id_1stparty|identifier_device_id_3rdparty|identifier_ip_address_1stparty|identifier_mobile_carrier_1stparty|location_1stparty
225,fixed_300,0.0,7,0.4,0.133,0.2,2,3,13,identifier_ad_id_1stparty|identifier_device_id_1stparty,contact_1stparty|contact_city_1stparty|location_ip_address_1stparty,contact_address_book_1stparty|contact_e_mail_address_1stparty|contact_password_1stparty|demographic_3rdparty|demographic_age_1stparty|demographic_gender_1stparty|facebook_sso|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_ip_address_1stparty|location_1stparty|sso
