config,category,severity,tp,fp,fn,precision,recall,f1
fixed_300 (pilot-15),Identifier — IMEI,HIGH,2,0,3,1.0,0.4,0.571
fixed_300 (pilot-15),Identifier — MAC,HIGH,2,0,5,1.0,0.286,0.445
fixed_300 (pilot-15),Identifier — SIM,HIGH,0,0,2,0.0,0.0,0.0
fixed_300 (pilot-15),Location — Bluetooth,HIGH,0,0,5,0.0,0.0,0.0
fixed_300 (pilot-15),Location — Cell,HIGH,0,0,7,0.0,0.0,0.0
fixed_300 (pilot-15),Location — GPS,HIGH,0,3,6,0.0,0.0,0.0
fixed_300 (pilot-15),Location — WiFi,HIGH,0,0,6,0.0,0.0,0.0
fixed_300 (pilot-15),Contact — Other,LOW,0,7,17,0.0,0.0,0.0
fixed_300 (pilot-15),Demographics,LOW,0,0,15,0.0,0.0,0.0
fixed_300 (pilot-15),Identifier — Other,LOW,0,0,8,0.0,0.0,0.0
fixed_300 (pilot-15),Location — Other,LOW,0,0,13,0.0,0.0,0.0
fixed_300 (pilot-15),SSO / Login,LOW,0,0,9,0.0,0.0,0.0
fixed_300 (pilot-15),Contact — Email,MEDIUM,2,0,12,1.0,0.143,0.25
fixed_300 (pilot-15),Contact — Phone,MEDIUM,0,0,11,0.0,0.0,0.0
fixed_300 (pilot-15),Contact — Postal,MEDIUM,0,0,9,0.0,0.0,0.0
fixed_300 (pilot-15),Identifier — Ad ID,MEDIUM,1,0,10,1.0,0.091,0.167
fixed_300 (pilot-15),Identifier — Cookie,MEDIUM,1,0,18,1.0,0.053,0.101
fixed_300 (pilot-15),Identifier — Device ID,MEDIUM,3,0,12,1.0,0.2,0.333
fixed_300 (pilot-15),Identifier — IP Address,MEDIUM,3,0,14,1.0,0.176,0.299
fixed_300 (pilot-15),Location — IP Address,MEDIUM,0,2,9,0.0,0.0,0.0
fixed_300 (pilot-15),Third-Party Sharing,MEDIUM,0,0,8,0.0,0.0,0.0
fixed_500 (pilot-15),Identifier — IMEI,HIGH,2,1,3,0.667,0.4,0.5
fixed_500 (pilot-15),Identifier — MAC,HIGH,2,1,5,0.667,0.286,0.4
fixed_500 (pilot-15),Identifier — SIM,HIGH,0,0,2,0.0,0.0,0.0
fixed_500 (pilot-15),Location — Bluetooth,HIGH,0,0,5,0.0,0.0,0.0
fixed_500 (pilot-15),Location — Cell,HIGH,0,0,7,0.0,0.0,0.0
fixed_500 (pilot-15),Location — GPS,HIGH,0,3,6,0.0,0.0,0.0
fixed_500 (pilot-15),Location — WiFi,HIGH,0,0,6,0.0,0.0,0.0
fixed_500 (pilot-15),Contact — Other,LOW,0,0,17,0.0,0.0,0.0
fixed_500 (pilot-15),Demographics,LOW,2,1,13,0.667,0.133,0.222
