category,severity,total_tp,total_fp,total_fn,precision,recall,f1
Identifier — IMEI,HIGH,8,2,7,0.8,0.533,0.64
Identifier — MAC,HIGH,8,2,13,0.8,0.381,0.516
Location — GPS,HIGH,5,10,13,0.333,0.278,0.303
Identifier — SIM,HIGH,1,2,5,0.333,0.167,0.222
Location — WiFi,HIGH,1,1,17,0.5,0.056,0.101
Location — Cell,HIGH,1,1,20,0.5,0.048,0.088
Location — Bluetooth,HIGH,0,0,15,0.0,0.0,0.0
Demographics,LOW,7,4,38,0.636,0.156,0.251
Contact — Other,LOW,1,12,50,0.077,0.02,0.032
Identifier — Other,LOW,0,14,24,0.0,0.0,0.0
Location — Other,LOW,0,2,39,0.0,0.0,0.0
Other,LOW,0,3,0,0.0,0.0,0.0
SSO / Login,LOW,0,5,27,0.0,0.0,0.0
Identifier — Device ID,MEDIUM,18,3,27,0.857,0.4,0.545
Identifier — IP Address,MEDIUM,13,2,38,0.867,0.255,0.394
Contact — Email,MEDIUM,10,1,32,0.909,0.238,0.377
Identifier — Ad ID,MEDIUM,6,3,27,0.667,0.182,0.286
Identifier — Cookie,MEDIUM,6,0,51,1.0,0.105,0.19
Location — IP Address,MEDIUM,2,6,25,0.25,0.074,0.114
Contact — Phone,MEDIUM,0,0,33,0.0,0.0,0.0
Contact — Postal,MEDIUM,0,0,27,0.0,0.0,0.0
Third-Party Sharing,MEDIUM,0,0,24,0.0,0.0,0.0
