policy_id,precision,recall,f1,tp,fp,fn
1,0.2,0.143,0.167,1,4,6
10,0.0,0.0,0.0,0,1,3
100,0.0,0.0,0.0,0,0,29
101,0.0,0.0,0.0,0,0,10
102,0.0,0.0,0.0,0,0,27
103,0.0,0.0,0.0,0,1,1
104,0.0,0.0,0.0,0,0,8
105,0.0,0.0,0.0,0,0,10
106,0.0,0.0,0.0,0,0,9
107,0.625,0.625,0.625,5,3,3
108,0.8,0.4,0.533,4,1,6
109,0.0,0.0,0.0,0,0,16
11,0.5,0.333,0.4,1,1,2
110,0.0,0.0,0.0,0,0,15
111,0.0,0.0,0.0,0,0,18
112,0.0,0.0,0.0,0,0,21
113,0.0,0.0,0.0,0,0,18
114,0.25,1.0,0.4,1,3,0
115,0.25,0.067,0.105,1,3,14
116,0.0,0.0,0.0,0,0,17
117,0.0,0.0,0.0,0,0,4
118,0.75,0.429,0.545,3,1,4
119,0.5,0.5,0.5,1,1,1
12,0.5,0.273,0.353,3,3,8
120,1.0,1.0,1.0,1,0,0
121,1.0,0.5,0.667,2,0,2
122,0.75,0.158,0.261,3,1,16
123,0.0,0.0,0.0,0,0,14
124,0.0,0.0,0.0,0,6,4
125,0.5,0.143,0.222,2,2,12
126,0.0,0.0,0.0,0,2,1
127,0.667,0.25,0.364,2,1,6
128,1.0,1.0,1.0,1,0,0
129,0.0,0.0,0.0,0,3,6
13,0.167,0.056,0.083,1,5,17
130,0.667,0.5,0.571,2,1,2
131,0.5,0.286,0.364,2,2,5
132,0.667,0.333,0.444,2,1,4
133,0.333,1.0,0.5,1,2,0
134,0.0,0.0,0.0,0,0,37
135,0.0,0.0,0.0,0,0,30
136,0.667,0.4,0.5,2,1,3
137,0.0,0.0,0.0,0,0,28
138,0.385,0.556,0.455,5,8,4
139,0.0,0.0,0.0,0,0,27
14,0.6,0.333,0.429,3,2,6
140,1.0,0.333,0.5,2,0,4
141,0.0,0.0,0.0,0,3,11
142,0.0,0.0,0.0,0,0,10
143,0.5,0.286,0.364,2,2,5
144,0.0,0.0,0.0,0,0,17
145,0.0,0.0,0.0,0,0,26
146,0.0,0.0,0.0,0,0,18
147,0.0,0.0,0.0,0,1,0
148,0.0,0.0,0.0,0,0,14
149,0.667,0.333,0.444,2,1,4
15,0.6,0.5,0.545,3,2,3
150,0.0,0.0,0.0,0,0,18
151,0.0,0.0,0.0,0,3,4
152,1.0,0.316,0.48,6,0,13
153,0.25,0.4,0.308,2,6,3
154,0.0,0.0,0.0,0,0,14
155,0.6,0.158,0.25,3,2,16
156,0.0,0.0,0.0,0,0,11
157,0.0,0.0,0.0,0,0,19
158,0.5,0.5,0.5,1,1,1
159,0.25,0.25,0.25,1,3,3
16,0.0,0.0,0.0,0,2,4
160,0.75,0.429,0.545,3,1,4
161,0.0,0.0,0.0,0,0,14
162,0.667,0.333,0.444,2,1,4
163,0.0,0.0,0.0,0,0,13
164,0.0,0.0,0.0,0,0,12
165,0.0,0.0,0.0,0,1,0
166,0.333,0.333,0.333,1,2,2
167,0.0,0.0,0.0,0,1,0
168,1.0,0.24,0.387,6,0,19
169,1.0,1.0,1.0,4,0,0
17,0.0,0.0,0.0,0,0,11
170,1.0,1.0,1.0,2,0,0
171,0.5,0.5,0.5,1,1,1
172,0.0,0.0,0.0,0,1,1
173,0.5,0.25,0.333,1,1,3
174,1.0,0.375,0.545,6,0,10
175,0.0,0.0,0.0,0,2,1
176,0.0,0.0,0.0,0,0,13
177,0.5,0.273,0.353,3,3,8
178,0.667,0.667,0.667,2,1,1
179,0.0,0.0,0.0,0,1,0
18,0.0,0.0,0.0,0,0,1
180,0.0,0.0,0.0,0,2,1
181,0.0,0.0,0.0,0,0,17
182,0.0,0.0,0.0,0,0,0
183,0.5,0.5,0.5,3,3,3
184,0.0,0.0,0.0,0,0,23
185,0.5,0.273,0.353,3,3,8
186,0.667,0.4,0.5,2,1,3
187,0.25,0.167,0.2,2,6,10
188,0.667,0.4,0.5,4,2,6
189,0.667,0.235,0.348,4,2,13
19,0.0,0.0,0.0,0,0,27
190,0.4,0.154,0.222,2,3,11
191,1.0,1.0,1.0,2,0,0
192,0.0,0.0,0.0,0,0,12
193,0.625,0.25,0.357,5,3,15
194,0.571,0.19,0.286,4,3,17
195,1.0,0.5,0.667,3,0,3
196,0.0,0.0,0.0,0,0,18
197,0.0,0.0,0.0,0,1,0
198,0.333,0.4,0.364,2,4,3
199,0.0,0.0,0.0,0,0,18
2,0.125,0.167,0.143,1,7,5
20,0.429,0.375,0.4,3,4,5
200,0.0,0.0,0.0,0,0,12
201,0.333,1.0,0.5,1,2,0
202,0.0,0.0,0.0,0,0,29
203,0.0,0.0,0.0,0,0,29
204,0.0,0.0,0.0,0,0,27
205,0.0,0.0,0.0,0,0,4
206,0.333,0.6,0.429,3,6,2
207,0.0,0.0,0.0,0,0,32
208,0.0,0.0,0.0,0,0,12
209,0.333,0.25,0.286,1,2,3
21,0.0,0.0,0.0,0,0,31
210,0.0,0.0,0.0,0,0,10
211,0.0,0.0,0.0,0,0,11
212,0.0,0.0,0.0,0,4,2
213,0.0,0.0,0.0,0,7,4
214,0.0,0.0,0.0,0,8,3
215,0.0,0.0,0.0,0,0,10
216,0.333,0.143,0.2,1,2,6
217,0.2,0.25,0.222,1,4,3
218,0.0,0.0,0.0,0,0,15
219,1.0,0.217,0.357,5,0,18
22,0.0,0.0,0.0,0,0,14
220,0.0,0.0,0.0,0,0,17
221,1.0,1.0,1.0,1,0,0
222,0.0,0.0,0.0,0,0,18
223,0.0,0.0,0.0,0,0,9
224,0.0,0.0,0.0,0,0,22
225,0.4,0.133,0.2,2,3,13
226,0.333,1.0,0.5,1,2,0
227,0.5,0.4,0.444,2,2,3
228,0.0,0.0,0.0,0,0,30
229,0.455,0.357,0.4,5,6,9
23,0.333,0.222,0.267,2,4,7
230,0.0,0.0,0.0,0,0,37
231,0.75,0.188,0.3,3,1,13
232,0.0,0.0,0.0,0,0,16
233,0.0,0.0,0.0,0,0,33
234,0.2,0.143,0.167,1,4,6
235,0.3,0.231,0.261,3,7,10
236,0.0,0.0,0.0,0,0,12
237,0.25,0.2,0.222,1,3,4
238,0.0,0.0,0.0,0,1,1
239,0.0,0.0,0.0,0,0,10
24,0.0,0.0,0.0,0,4,1
240,0.571,0.25,0.348,4,3,12
241,0.125,0.167,0.143,1,7,5
242,0.0,0.0,0.0,0,0,15
243,1.0,1.0,1.0,1,0,0
244,0.5,0.444,0.471,4,4,5
246,1.0,0.667,0.8,2,0,1
247,0.667,0.667,0.667,2,1,1
249,0.333,1.0,0.5,1,2,0
25,0.0,0.0,0.0,0,0,17
250,0.667,0.5,0.571,2,1,2
251,0.0,0.0,0.0,0,0,20
252,0.25,0.375,0.3,3,9,5
253,0.667,0.235,0.348,4,2,13
254,1.0,0.333,0.5,3,0,6
255,0.0,0.0,0.0,0,0,17
256,0.0,0.0,0.0,0,0,17
257,0.25,0.167,0.2,1,3,5
258,0.0,0.0,0.0,0,0,15
259,0.333,0.25,0.286,2,4,6
26,0.5,0.333,0.4,3,3,6
260,0.0,0.0,0.0,0,0,19
261,0.0,0.0,0.0,0,1,0
262,0.333,0.333,0.333,1,2,2
263,0.0,0.0,0.0,0,0,17
264,0.0,0.0,0.0,0,3,3
265,1.0,1.0,1.0,1,0,0
266,0.75,0.375,0.5,3,1,5
267,0.333,0.4,0.364,2,4,3
269,0.5,0.143,0.222,2,2,12
27,0.0,0.0,0.0,0,0,4
270,0.333,0.333,0.333,1,2,2
271,0.5,0.333,0.4,2,2,4
272,0.5,0.143,0.222,2,2,12
273,0.5,0.286,0.364,2,2,5
274,0.0,0.0,0.0,0,0,13
275,1.0,0.333,0.5,1,0,2
276,0.25,0.25,0.25,1,3,3
277,0.0,0.0,0.0,0,4,10
278,0.4,1.0,0.571,2,3,0
279,0.333,0.25,0.286,2,4,6
28,0.5,0.5,0.5,3,3,3
280,0.6,0.6,0.6,3,2,2
281,0.0,0.0,0.0,0,0,14
282,0.0,0.0,0.0,0,0,25
283,0.8,0.8,0.8,4,1,1
284,0.0,0.0,0.0,0,0,18
285,0.0,0.0,0.0,0,0,15
286,0.5,0.375,0.429,3,3,5
287,0.0,0.0,0.0,0,0,16
288,0.6,0.273,0.375,3,2,8
289,0.5,0.286,0.364,2,2,5
29,0.667,0.333,0.444,2,1,4
290,0.0,0.0,0.0,0,0,16
