policy_id,precision,recall,f1,tp,fp,fn
1,0.8,0.571,0.667,4,1,3
10,0.0,0.0,0.0,0,2,3
100,0.5,0.138,0.216,4,4,25
101,0.273,0.3,0.286,3,8,7
102,0.091,0.037,0.053,1,10,26
103,0.0,0.0,0.0,0,3,1
104,0.571,0.5,0.533,4,3,4
105,0.3,0.3,0.3,3,7,7
106,0.4,0.222,0.286,2,3,7
107,0.6,0.375,0.462,3,2,5
108,0.667,0.6,0.632,6,3,4
109,0.667,0.25,0.364,4,2,12
11,0.0,0.0,0.0,0,5,3
110,1.0,0.4,0.571,6,0,9
111,0.0,0.0,0.0,0,0,18
112,0.182,0.095,0.125,2,9,19
113,0.857,0.333,0.48,6,1,12
114,0.333,1.0,0.5,1,2,0
115,0.6,0.2,0.3,3,2,12
116,0.667,0.235,0.348,4,2,13
117,0.5,0.25,0.333,1,1,3
118,0.5,0.286,0.364,2,2,5
119,1.0,0.5,0.667,1,0,1
12,0.75,0.273,0.4,3,1,8
120,1.0,1.0,1.0,1,0,0
121,0.2,0.25,0.222,1,4,3
122,1.0,0.158,0.273,3,0,16
123,0.625,0.357,0.455,5,3,9
124,0.375,0.75,0.5,3,5,1
125,0.667,0.286,0.4,4,2,10
126,0.0,0.0,0.0,0,1,1
127,1.0,0.5,0.667,4,0,4
128,0.0,0.0,0.0,0,2,1
129,0.333,0.333,0.333,2,4,4
13,0.222,0.111,0.148,2,7,16
130,0.6,0.75,0.667,3,2,1
131,1.0,0.429,0.6,3,0,4
132,1.0,0.5,0.667,3,0,3
133,1.0,1.0,1.0,1,0,0
134,0.75,0.162,0.267,6,2,31
135,0.833,0.167,0.278,5,1,25
136,0.333,0.4,0.364,2,4,3
138,0.333,0.333,0.333,3,6,6
14,0.4,0.222,0.286,2,3,7
140,1.0,0.333,0.5,2,0,4
141,0.5,0.364,0.421,4,4,7
142,0.308,0.4,0.348,4,9,6
143,0.75,0.429,0.545,3,1,4
144,0.667,0.235,0.348,4,2,13
146,0.667,0.222,0.333,4,2,14
147,0.0,0.0,0.0,0,1,0
148,0.7,0.5,0.583,7,3,7
149,1.0,0.333,0.5,2,0,4
15,0.667,0.333,0.444,2,1,4
150,0.692,0.5,0.581,9,4,9
151,0.333,0.25,0.286,1,2,3
152,0.833,0.526,0.645,10,2,9
153,0.364,0.8,0.5,4,7,1
154,0.667,0.429,0.522,6,3,8
155,0.6,0.158,0.25,3,2,16
156,0.286,0.182,0.222,2,5,9
157,0.667,0.211,0.32,4,2,15
158,0.5,1.0,0.667,2,2,0
159,0.333,0.25,0.286,1,2,3
16,0.0,0.0,0.0,0,3,4
160,0.0,0.0,0.0,0,0,7
161,0.333,0.143,0.2,2,4,12
162,0.667,0.333,0.444,2,1,4
163,0.714,0.385,0.5,5,2,8
164,0.5,0.25,0.333,3,3,9
165,0.0,0.0,0.0,0,1,0
166,0.5,0.667,0.571,2,2,1
167,0.0,0.0,0.0,0,1,0
168,0.778,0.28,0.412,7,2,18
169,0.75,0.75,0.75,3,1,1
17,0.636,0.636,0.636,7,4,4
170,0.5,0.5,0.5,1,1,1
171,1.0,0.5,0.667,1,0,1
172,0.0,0.0,0.0,0,2,1
173,0.6,0.75,0.667,3,2,1
174,0.8,0.25,0.381,4,1,12
175,0.0,0.0,0.0,0,3,1
176,0.375,0.231,0.286,3,5,10
177,0.833,0.455,0.588,5,1,6
178,0.0,0.0,0.0,0,3,3
179,0.0,0.0,0.0,0,1,0
18,0.0,0.0,0.0,0,0,1
180,0.0,0.0,0.0,0,1,1
181,0.556,0.294,0.385,5,4,12
182,0.0,0.0,0.0,0,0,0
183,1.0,0.333,0.5,2,0,4
184,0.6,0.13,0.214,3,2,20
185,0.556,0.455,0.5,5,4,6
186,0.3,0.6,0.4,3,7,2
187,0.222,0.167,0.19,2,7,10
188,0.667,0.4,0.5,4,2,6
189,0.6,0.176,0.273,3,2,14
19,0.833,0.185,0.303,5,1,22
190,0.333,0.308,0.32,4,8,9
191,0.667,1.0,0.8,2,1,0
192,0.6,0.25,0.353,3,2,9
193,0.667,0.4,0.5,8,4,12
194,0.5,0.286,0.364,6,6,15
195,0.75,0.5,0.6,3,1,3
196,0.267,0.222,0.242,4,11,14
197,0.0,0.0,0.0,0,1,0
198,0.5,0.4,0.444,2,2,3
199,0.714,0.278,0.4,5,2,13
2,0.0,0.0,0.0,0,12,6
20,0.25,0.125,0.167,1,3,7
200,0.5,0.25,0.333,3,3,9
201,0.125,1.0,0.222,1,7,0
203,0.0,0.0,0.0,0,0,29
205,0.5,0.5,0.5,2,2,2
206,0.286,0.4,0.333,2,5,3
207,1.0,0.094,0.171,3,0,29
208,0.286,0.167,0.211,2,5,10
209,0.4,0.5,0.444,2,3,2
21,0.0,0.0,0.0,0,0,31
210,0.6,0.3,0.4,3,2,7
211,0.5,0.273,0.353,3,3,8
212,0.2,0.5,0.286,1,4,1
213,0.2,0.25,0.222,1,4,3
214,0.4,0.667,0.5,2,3,1
215,0.625,0.5,0.556,5,3,5
216,0.667,0.286,0.4,2,1,5
217,0.0,0.0,0.0,0,6,4
218,0.333,0.067,0.111,1,2,14
219,0.6,0.13,0.214,3,2,20
22,0.667,0.429,0.522,6,3,8
221,0.0,0.0,0.0,0,3,1
222,0.667,0.222,0.333,4,2,14
223,0.167,0.222,0.19,2,10,7
224,0.75,0.409,0.529,9,3,13
225,0.667,0.4,0.5,6,3,9
226,0.25,1.0,0.4,1,3,0
227,0.75,0.6,0.667,3,1,2
228,0.571,0.133,0.216,4,3,26
229,0.444,0.286,0.348,4,5,10
23,0.5,0.222,0.308,2,2,7
230,0.714,0.135,0.227,5,2,32
231,0.429,0.188,0.261,3,4,13
232,1.0,0.188,0.316,3,0,13
233,0.75,0.091,0.162,3,1,30
234,0.5,0.286,0.364,2,2,5
235,0.364,0.308,0.333,4,7,9
236,0.25,0.083,0.125,1,3,11
237,0.4,0.4,0.4,2,3,3
238,0.0,0.0,0.0,0,1,1
239,0.25,0.2,0.222,2,6,8
24,0.0,0.0,0.0,0,11,1
240,0.8,0.25,0.381,4,1,12
241,0.25,0.333,0.286,2,6,4
243,0.5,1.0,0.667,1,1,0
244,0.5,0.222,0.308,2,2,7
245,0.6,0.214,0.316,3,2,11
246,0.75,1.0,0.857,3,1,0
247,0.667,0.667,0.667,2,1,1
248,0.625,0.263,0.37,5,3,14
249,0.0,0.0,0.0,0,4,1
25,0.75,0.353,0.48,6,2,11
250,0.4,0.5,0.444,2,3,2
251,0.364,0.2,0.258,4,7,16
252,0.333,0.25,0.286,2,4,6
253,0.667,0.235,0.348,4,2,13
254,0.571,0.444,0.5,4,3,5
255,0.5,0.176,0.261,3,3,14
257,0.667,0.333,0.444,2,1,4
258,0.6,0.2,0.3,3,2,12
259,0.2,0.125,0.154,1,4,7
26,0.571,0.444,0.5,4,3,5
260,0.333,0.105,0.16,2,4,17
261,0.0,0.0,0.0,0,1,0
262,0.2,0.333,0.25,1,4,2
263,0.714,0.294,0.417,5,2,12
264,0.4,0.667,0.5,2,3,1
265,1.0,1.0,1.0,1,0,0
266,0.6,0.375,0.462,3,2,5
267,0.25,0.2,0.222,1,3,4
268,0.5,0.222,0.308,2,2,7
269,0.2,0.071,0.105,1,4,13
27,0.0,0.0,0.0,0,4,4
270,1.0,0.667,0.8,2,0,1
271,0.667,0.333,0.444,2,1,4
272,0.5,0.214,0.3,3,3,11
273,0.0,0.0,0.0,0,2,7
274,0.5,0.231,0.316,3,3,10
275,0.0,0.0,0.0,0,1,3
276,0.286,0.5,0.364,2,5,2
277,0.333,0.1,0.154,1,2,9
278,1.0,1.0,1.0,2,0,0
279,0.222,0.25,0.235,2,7,6
28,0.333,0.333,0.333,2,4,4
280,0.444,0.8,0.571,4,5,1
281,0.455,0.357,0.4,5,6,9
282,0.625,0.2,0.303,5,3,20
283,0.714,1.0,0.833,5,2,0
284,0.778,0.389,0.519,7,2,11
285,0.25,0.067,0.105,1,3,14
